0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1940.8035
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2145.2616
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1589.8509
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,764.76846
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1862.7839
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1724.7035
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,3857.4922
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2580.366
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,3051.6299
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1589.6337
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2366.4642
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1358.3207
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,79.551252
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,620.33221,418.0,110.0,110.0,0.0
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,401.73646,275.0,216.7,292.05,462.0,353.1,418.0,110.0,110.0,0.0
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,538.56481,353.1,418.0,110.0,110.0,0.0
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,557.04982,353.1,418.0,110.0,110.0,0.0
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1695.302
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2011.3114
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,3515.7233
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,806.98353,353.1,418.0,110.0,110.0,0.0
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,560.42969
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,492.56653,418.0,110.0,110.0,0.0
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,189.97951
